rank,lForm,lemma,pos,subLemma,wType,frequency,pmw,K_acc
417,アタエル,与える,動詞-一般,,和,20769,198.5328263,A
1977,アタタカイ,温かい,形容詞-一般,,和,4781,45.7020291,B
371,アタマ,頭,名詞-普通名詞-一般,,和,23423,223.9026621,B
388,アタラシイ,新しい,形容詞-一般,,和,22474,214.8310818,B
778,アタリ,辺り,名詞-普通名詞-副詞可能,,和,12126,115.9135756,A
2366,アタリマエ,当たり前,形状詞-一般,,和,3895,37.2326717,A
506,アタル,当たる,動詞-一般,,和,18090,172.924013,A
2190,アツイ,暑い,形容詞-一般,,和,4249,40.616591,B
2342,アツイ,熱い,形容詞-一般,,和,3936,37.6245945,B
2682,アツイ,厚い,形容詞-一般,,和,3348,32.0038472,A
1668,アツカウ,扱う,動詞-一般,,和,5666,54.1618274,A
1022,アップ,アップ,名詞-普通名詞-サ変可能,up,外,9303,88.9282528,
1385,アツマル,集まる,動詞-一般,,和,6860,65.5753858,B
1389,アツメル,集める,動詞-一般,,和,6811,65.1069902,B
1572,アテル,当てる,動詞-一般,,和,6039,57.7273695,A
141,アト,後,名詞-普通名詞-副詞可能,,和,63979,611.5812842,B
2777,アト,跡,名詞-普通名詞-一般,,和,3216,30.7420468,B
2640,アドバイス,アドバイス,名詞-普通名詞-サ変可能,advice,外,3432,32.8068111,A
2471,アドレス,アドレス,名詞-普通名詞-一般,address,外,3691,35.2826165,
1823,アナ,穴,名詞-普通名詞-一般,,和,5213,49.8315578,B
175,アナタ,貴方,代名詞,,和,48132,460.0983193,A
1264,アニ,兄,名詞-普通名詞-一般,,和,7665,73.2704566,A
1791,アネ,姉,名詞-普通名詞-一般,,和,5285,50.5198125,A
2583,アブラ,油,名詞-普通名詞-一般,,和,3509,33.5428613,B
2379,アフレル,溢れる,動詞-一般,,和,3870,36.9936943,A
1872,アマイ,甘い,形容詞-一般,,和,5055,48.3212209,A
415,アマリ,余り,副詞,,和,20864,199.4409402,B
1518,アマリ,余り,形状詞-一般,,和,6237,59.6200702,
2653,アマリ,余り,名詞-普通名詞-副詞可能,,和,3404,32.5391565,B
1165,アメ,雨,名詞-普通名詞-一般,,和,8319,79.5221042,B
305,アメリカ,アメリカ,名詞-固有名詞-地名-国,America,固,28243,269.9774959,B
2031,アラウ,洗う,動詞-一般,,和,4631,44.268165,A
920,アラタ,新た,形状詞-一般,,和,10337,98.8123562,B
2023,アラタメテ,改めて,副詞,,和,4645,44.4019923,B
991,アラワス,表わす,動詞-一般,,和,9530,91.0981672,A
776,アラワレル,現われる,動詞-一般,,和,12179,116.4202076,A
1834,アリ,有り,名詞-普通名詞-一般,,和,5177,49.4874304,
16,アル,有る,動詞-非自立可能,,和,956900,9147.097186,B
505,アルク,歩く,動詞-一般,,和,18094,172.9622494,B
760,アレ,彼れ,代名詞,,和,12413,118.6570356,A
613,アワセル,合わせる,動詞-一般,,和,15113,144.4665898,B
2335,アワテル,慌てる,動詞-一般,,和,3948,37.7393037,A
1303,アン,案,名詞-普通名詞-一般,,漢,7376,70.5078784,B
1359,アンシン,安心,名詞-普通名詞-サ変形状詞可能,,漢,7023,67.1335182,B
523,アンゼン,安全,名詞-普通名詞-形状詞可能,,漢,17515,167.4275339,B
876,アンテイ,安定,名詞-普通名詞-サ変形状詞可能,,漢,10916,104.3470717,B
1642,アンナイ,案内,名詞-普通名詞-サ変可能,,漢,5762,55.0795005,B
1363,イ,い,助詞-終助詞,,和,7010,67.0092499,
242,イイン,委員,名詞-普通名詞-一般,,漢,35454,338.9081238,B
18,イウ,言う,動詞-一般,,和,803148,7677.367343,
258,イエ,家,名詞-普通名詞-一般,,和,33587,321.061295,B
485,イカ,以下,名詞-普通名詞-一般,,漢,18939,181.039684,A
467,イガイ,以外,名詞-普通名詞-副詞可能,,漢,19354,185.006708,A
2074,イガイ,意外,形状詞-一般,,漢,4540,43.3982874,A
1846,イカガ,如何,形状詞-一般,,和,5130,49.038153,A
2153,イガク,医学,名詞-普通名詞-一般,,漢,4348,41.5629413,B
1844,イカス,生かす,動詞-一般,,和,5135,49.0859484,B
1217,イカニ,如何に,副詞,,和,7952,76.0139166,A
2525,イカリ,怒り,名詞-普通名詞-一般,,和,3608,34.4892117,A
1589,イキ,息,名詞-普通名詞-一般,,和,5969,57.0582329,B
2594,イキオイ,勢い,名詞-普通名詞-一般,,和,3492,33.3803567,B
2223,イキナリ,行成,副詞,,和,4181,39.9665726,B
1184,イギリス,イギリス,名詞-固有名詞-地名-国,Inglez,固,8149,77.8970582,B
421,イキル,生きる,動詞-一般,,和,20654,197.4335304,B
48,イク,行く,動詞-非自立可能,,和,220816,2110.800932,A
825,イク,幾,名詞-数詞,,和,11564,110.5413647,
2271,イクセイ,育成,名詞-普通名詞-サ変可能,,漢,4079,38.991545,B
1668,イクラ,幾ら,名詞-普通名詞-副詞可能,,和,5666,54.1618274,A
2321,イクラ,幾ら,副詞,,和,3987,38.1121083,A
642,イケン,意見,名詞-普通名詞-サ変可能,,漢,14498,138.5877469,A
2298,イゴ,以後,名詞-普通名詞-副詞可能,,漢,4034,38.5613858,A
870,イコウ,以降,名詞-普通名詞-副詞可能,,漢,10953,104.7007581,A
1269,イシ,医師,名詞-普通名詞-一般,,漢,7607,72.7160291,B
1896,イシ,石,名詞-普通名詞-一般,,和,5001,47.8050298,A
1946,イシ,意思,名詞-普通名詞-一般,,漢,4846,46.3233702,A
2790,イシ,意志,名詞-普通名詞-一般,,漢,3191,30.5030694,A
1152,イジ,維持,名詞-普通名詞-サ変可能,,漢,8413,80.420659,A
541,イシキ,意識,名詞-普通名詞-サ変可能,,漢,16964,162.160473,A
2001,イシャ,医者,名詞-普通名詞-一般,,漢,4712,45.0424516,B
178,イジョウ,以上,名詞-普通名詞-副詞可能,,漢,46675,446.1707191,A
1763,イジョウ,異常,名詞-普通名詞-形状詞可能,,漢,5371,51.3418946,A
1534,イス,椅子,名詞-普通名詞-一般,,漢,6154,58.8266654,A
734,イズレ,何れ,代名詞,,和,12851,122.8439188,A
716,イゼン,以前,名詞-普通名詞-副詞可能,,漢,13099,125.2145742,A
2100,イソガシイ,忙しい,形容詞-一般,,和,4478,42.8056236,B
2236,イソグ,急ぐ,動詞-一般,,和,4157,39.7371544,B
2519,イゾン,依存,名詞-普通名詞-サ変可能,,漢,3617,34.5752435,A
1519,イタイ,痛い,形容詞-一般,,和,6236,59.6105111,B
1494,イダク,抱く,動詞-一般,,和,6355,60.7480433,A
363,イタス,致す,動詞-非自立可能,,和,23823,227.7262998,A
243,イタダク,頂く,動詞-非自立可能,,和,35439,338.7647373,A
1974,イタミ,痛み,名詞-普通名詞-一般,,和,4790,45.7880609,
2000,イタリア,イタリア,名詞-固有名詞-地名-国,Italia,固,4720,45.1189244,B
918,イタル,至る,動詞-一般,,和,10371,99.1373654,A
23,イチ,一,名詞-数詞,,漢,507548,4851.699114,A
770,イチ,位置,名詞-普通名詞-サ変可能,,漢,12261,117.2040533,A
2050,イチオウ,一応,名詞-普通名詞-副詞可能,,漢,4592,43.8953603,A
1863,イチジ,一時,名詞-普通名詞-副詞可能,,漢,5078,48.5410801,A
2629,イチジルシイ,著しい,形容詞-一般,,和,3447,32.9501975,A
393,イチバン,一番,副詞,,漢,22216,212.3648355,B
640,イチブ,一部,名詞-普通名詞-副詞可能,,漢,14520,138.798047,A
202,イツ,何時,代名詞,,和,40505,387.1911083,B
1450,イツ,五,名詞-数詞,,和,6549,62.6025075,A
2692,イッキ,一気,名詞-普通名詞-一般,,漢,3339,31.9178153,A
2135,イッサイ,一切,名詞-普通名詞-副詞可能,,漢,4388,41.9453051,A
2631,イッシュ,一種,名詞-普通名詞-一般,,漢,3445,32.9310793,A
2103,イッシュン,一瞬,名詞-普通名詞-副詞可能,,漢,4469,42.7195917,A
392,イッショ,一緒,名詞-普通名詞-サ変可能,,漢,22245,212.6420492,B
1853,イッショウ,一生,名詞-普通名詞-副詞可能,,漢,5103,48.7800574,A
1699,イッソウ,一層,副詞,,漢,5570,53.2441544,A
1251,イッタイ,一体,副詞,,漢,7717,73.7675295,A
2443,イッタイ,一体,名詞-普通名詞-一般,,漢,3740,35.7510121,A
2543,イッタン,一旦,副詞,,漢,3576,34.1833207,A
2421,イッチ,一致,名詞-普通名詞-サ変可能,,漢,3793,36.2576441,A
1338,イッテイ,一定,名詞-普通名詞-サ変形状詞可能,,漢,7125,68.1085458,A
1335,イッパイ,一杯,名詞-普通名詞-形状詞可能,,漢,7136,68.2136958,A
2467,イッパイ,一杯,副詞,,漢,3695,35.3208529,A
338,イッパン,一般,名詞-普通名詞-一般,,漢,25347,242.2943592,A
923,イッポウ,一方,名詞-普通名詞-副詞可能,,漢,10294,98.4013151,B
2606,イテン,移転,名詞-普通名詞-サ変可能,,漢,3478,33.2465294,A
1975,イデン,遺伝,名詞-普通名詞-サ変可能,,漢,4787,45.7593837,A
1092,イドウ,移動,名詞-普通名詞-サ変可能,,漢,8740,83.5464828,A
1960,イナイ,以内,名詞-普通名詞-副詞可能,,漢,4816,46.0365974,A
1130,イヌ,犬,名詞-普通名詞-一般,,和,8495,81.2045047,B
1405,イノチ,命,名詞-普通名詞-一般,,和,6737,64.3996172,B
1428,イハン,違反,名詞-普通名詞-サ変可能,,漢,6612,63.2047305,A
2040,イベント,イベント,名詞-普通名詞-一般,event,外,4610,44.067424,
99,イマ,今,名詞-普通名詞-副詞可能,,和,95114,909.2036803,B
2264,イマダ,未だ,副詞,,和,4094,39.1349314,B
215,イミ,意味,名詞-普通名詞-サ変可能,,漢,39279,375.4716588,A
1036,イメージ,イメージ,名詞-普通名詞-サ変可能,image,外,9181,87.7620433,A
2306,イモウト,妹,名詞-普通名詞-一般,,和,4022,38.4466766,B
742,イヤ,嫌,形状詞-一般,,和,12746,121.8402139,A
2670,イヨイヨ,愈,副詞,,和,3370,32.2141473,A
1179,イライ,以来,名詞-普通名詞-副詞可能,,漢,8161,78.0117673,A
2243,イライ,依頼,名詞-普通名詞-サ変可能,,漢,4139,39.5650907,A
1509,イラッシャル,いらっしゃる,動詞-非自立可能,,和,6293,60.1553794,A
2185,イリ,入り,名詞-普通名詞-一般,,和,4276,40.8746866,A
2372,イリグチ,入り口,名詞-普通名詞-一般,,和,3889,37.1753171,A
622,イリョウ,医療,名詞-普通名詞-一般,,漢,14881,142.2488799,B
13,イル,居る,動詞-非自立可能,,和,1121183,10717.49385,A
2234,イル,要る,動詞-一般,,和,4159,39.7562725,A
2284,イル,入る,動詞-一般,,和,4057,38.7812449,A
223,イレル,入れる,動詞-一般,,和,38409,367.1552469,A
558,イロ,色,名詞-普通名詞-一般,,和,16438,157.1323895,B
707,イロイロ,色々,副詞,,和,13274,126.8874157,B
921,イロイロ,色々,形状詞-一般,,和,10321,98.6594107,B
2262,イワバ,言わば,副詞,,和,4095,39.1444905,A
1618,イン,イン,名詞-普通名詞-一般,in,外,5859,56.0067326,
2313,インサツ,印刷,名詞-普通名詞-サ変可能,,漢,4004,38.2746129,A
1367,インショウ,印象,名詞-普通名詞-一般,,漢,6976,66.6842407,A
1451,インターネット,インターネット,名詞-普通名詞-一般,internet,外,6543,62.545153,
2027,インド,インド,名詞-固有名詞-地名-国,India,固,4638,44.3350786,A
2560,ウイルス,ウイルス,名詞-普通名詞-一般,virus,外,3546,33.8965478,
2039,ウインドー,ウインドー,名詞-普通名詞-一般,window,外,4615,44.1152195,A
167,ウエ,上,名詞-普通名詞-副詞可能,,和,50903,486.5865692,A
1886,ウカガウ,伺う,動詞-一般,,和,5024,48.024889,A
2253,ウカブ,浮かぶ,動詞-一般,,和,4122,39.4025861,A
1821,ウケイレル,受け入れる,動詞-一般,,和,5217,49.8697941,B
1963,ウケツケ,受け付け,名詞-普通名詞-サ変可能,,和,4813,46.0079201,B
1814,ウケトル,受け取る,動詞-一般,,和,5235,50.0418578,B
191,ウケル,受ける,動詞-一般,,和,42645,407.6475697,B
1799,ウゴカス,動かす,動詞-一般,,和,5272,50.3955443,B
913,ウゴキ,動き,名詞-普通名詞-一般,,和,10433,99.7300292,B
754,ウゴク,動く,動詞-一般,,和,12498,119.4695586,B
1038,ウシナウ,失う,動詞-一般,,和,9154,87.5039478,A
1403,ウシロ,後ろ,名詞-普通名詞-一般,,和,6749,64.5143264,B
1736,ウスイ,薄い,形容詞-一般,,和,5453,52.1257404,A
1708,ウソ,嘘,名詞-普通名詞-一般,,和,5537,52.9287043,A
1033,ウタ,歌,名詞-普通名詞-一般,,和,9230,88.2304389,A
1141,ウタウ,歌う,動詞-一般,,和,8453,80.8030228,A
181,ウチ,内,名詞-普通名詞-副詞可能,,和,45175,431.8320779,A
1559,ウチュウ,宇宙,名詞-普通名詞-一般,,漢,6078,58.1001742,A
765,ウツ,打つ,動詞-一般,,和,12389,118.4276173,B
914,ウツクシイ,美しい,形容詞-一般,,和,10417,99.5770837,B
2590,ウツス,移す,動詞-一般,,和,3497,33.4281522,B
2352,ウッタエル,訴える,動詞-一般,,和,3923,37.5003263,B
2452,ウツル,移る,動詞-一般,,和,3723,35.5885075,B
1270,ウデ,腕,名詞-普通名詞-一般,,和,7604,72.6873519,B
1569,ウナズク,頷く,動詞-一般,,和,6047,57.8038423,B
2570,ウバウ,奪う,動詞-一般,,和,3528,33.7244841,A
1495,ウマ,馬,名詞-普通名詞-一般,,和,6354,60.7384842,B
603,ウマイ,旨い,形容詞-一般,,和,15256,145.8335402,A
2276,ウマレ,生まれ,名詞-普通名詞-一般,,和,4071,38.9150723,A
611,ウマレル,生まれる,動詞-一般,,和,15121,144.5430625,A
890,ウミ,海,名詞-普通名詞-一般,,和,10759,102.8462939,B
2662,ウミダス,生み出す,動詞-一般,,和,3381,32.3192973,A
1901,ウム,生む,動詞-一般,,和,4986,47.6616434,A
1588,ウラ,裏,名詞-普通名詞-一般,,和,5979,57.1538239,B
2368,ウリアゲ,売り上げ,名詞-普通名詞-一般,,和,3893,37.2135535,A
1060,ウル,売る,動詞-一般,,和,9000,86.0318473,A
848,ウレシイ,嬉しい,形容詞-一般,,和,11155,106.6316952,B
2492,ウワサ,噂,名詞-普通名詞-サ変可能,,和,3669,35.0723164,A
1474,ウンエイ,運営,名詞-普通名詞-サ変可能,,漢,6449,61.6465981,A
947,ウンテン,運転,名詞-普通名詞-サ変可能,,漢,10045,96.0211007,A
507,ウンドウ,運動,名詞-普通名詞-サ変可能,,漢,18080,172.8284221,A
2748,ウンメイ,運命,名詞-普通名詞-一般,,漢,3258,31.1435287,B
1887,ウンヨウ,運用,名詞-普通名詞-サ変可能,,漢,5020,47.9866526,A
1105,エ,絵,名詞-普通名詞-一般,,漢,8604,82.246446,B
650,エイガ,映画,名詞-普通名詞-一般,,漢,14336,137.0391736,A
490,エイキョウ,影響,名詞-普通名詞-サ変可能,,漢,18788,179.5962608,A
1265,エイギョウ,営業,名詞-普通名詞-サ変可能,,漢,7654,73.1653066,A
1185,エイゴ,英語,名詞-普通名詞-一般,,漢,8148,77.8874991,A
2324,エイゾウ,映像,名詞-普通名詞-一般,,漢,3970,37.9496037,A
1866,エイヨウ,栄養,名詞-普通名詞-一般,,漢,5076,48.5219619,A
2242,エガオ,笑顔,名詞-普通名詞-一般,,和,4144,39.6128861,B
710,エガク,描く,動詞-一般,,混,13189,126.0748927,B
587,エキ,駅,名詞-普通名詞-一般,,漢,15665,149.7432098,A
1193,エド,エド,名詞-固有名詞-地名-一般,,固,8100,77.4286626,A
955,エネルギー,エネルギー,名詞-普通名詞-一般,energy,外,9930,94.9218048,A
606,エラブ,選ぶ,動詞-一般,,和,15198,145.2791128,B
204,エル,得る,動詞-非自立可能,,和,40470,386.85654,A
116,エン,円,名詞-普通名詞-助数詞可能,助数詞,漢,76926,735.3428761,A
2823,エン,円,名詞-普通名詞-一般,,漢,3139,30.0059965,A
1514,エンジョ,援助,名詞-普通名詞-サ変可能,,漢,6268,59.9164021,A
1899,エンジン,エンジン,名詞-普通名詞-一般,engine,外,4992,47.718998,A
2259,エンソウ,演奏,名詞-普通名詞-サ変可能,,漢,4097,39.1636087,A
2556,エンチョウ,延長,名詞-普通名詞-サ変可能,,漢,3552,33.9539024,A
777,オイシイ,美味しい,形容詞-一般,,和,12136,116.0091665,B
1278,オウ,王,名詞-普通名詞-一般,,漢,7574,72.400579,B
1673,オウ,追う,動詞-一般,,和,5651,54.018441,A
2545,オウ,負う,動詞-一般,,和,3573,34.1546434,A
2441,オウエン,応援,名詞-普通名詞-サ変可能,,漢,3743,35.7796894,A
1029,オウズル,応ずる,動詞-一般,,混,9251,88.4311799,A
2629,オウボ,応募,名詞-普通名詞-サ変可能,,漢,3447,32.9501975,A
2035,オエル,終える,動詞-非自立可能,,和,4623,44.1916922,A
158,オオイ,多い,形容詞-一般,,和,55818,533.5695169,B
2677,オオウ,覆う,動詞-一般,,和,3353,32.0516427,A
2282,オオガタ,大型,名詞-普通名詞-形状詞可能,,和,4064,38.8481586,B
233,オオキイ,大きい,形容詞-一般,,和,37111,354.7475427,A
418,オオク,多く,名詞-普通名詞-副詞可能,,和,20762,198.4659126,B
2380,オークション,オークション,名詞-普通名詞-一般,auction,外,3868,36.9745761,
2004,オーケー,オーケー,名詞-普通名詞-サ変可能,okay,外,4696,44.8895061,B
824,オオサカ,オオサカ,名詞-固有名詞-地名-一般,,固,11572,110.6178374,A
2226,オオハバ,大幅,形状詞-一般,,和,4176,39.9187771,B
2439,オープン,オープン,名詞-普通名詞-サ変形状詞可能,open,外,3750,35.846603,A
1997,オカゲ,御陰,名詞-普通名詞-一般,,和,4727,45.185838,B
1504,オカシイ,可笑しい,形容詞-一般,,和,6320,60.413475,B
1717,オキナワ,オキナワ,名詞-固有名詞-地名-一般,,固,5511,52.6801678,B
887,オキル,起きる,動詞-一般,,和,10799,103.2286577,B
108,オク,於く,動詞-一般,,和,84355,806.3573864,
148,オク,置く,動詞-非自立可能,,和,61241,585.4084844,A
410,オク,億,名詞-数詞,,漢,21012,200.8556861,A
822,オク,奥,名詞-普通名詞-一般,,和,11630,111.1722649,B
657,オクル,送る,動詞-一般,,和,14143,135.1942685,A
2091,オクレル,遅れる,動詞-非自立可能,,和,4500,43.0159236,A
999,オコス,起こす,動詞-一般,,和,9462,90.4481488,C
112,オコナウ,行う,動詞-一般,,和,79779,762.6149716,A
669,オコル,起こる,動詞-一般,,和,13901,132.8809677,A
1732,オコル,怒る,動詞-一般,,和,5466,52.2500086,A
1378,オサエル,押さえる,動詞-一般,,和,6907,66.0246632,A
2005,オサメル,収める,動詞-一般,,和,4693,44.8608288,B
1528,オジ,伯父,名詞-普通名詞-一般,,和,6192,59.1899109,A
267,オシエル,教える,動詞-一般,,和,32340,309.1411046,A
1195,オス,押す,動詞-一般,,和,8096,77.3904262,A
2409,オセン,汚染,名詞-普通名詞-サ変可能,,漢,3810,36.4201487,A
1597,オソイ,遅い,形容詞-一般,,和,5940,56.7810192,A
2761,オソウ,襲う,動詞-一般,,和,3236,30.9332286,A
1236,オソラク,恐らく,副詞,,和,7846,75.0006526,A
2300,オソレ,恐れ,名詞-普通名詞-一般,,和,4025,38.4753539,B
2486,オソレル,恐れる,動詞-一般,,和,3676,35.1392301,B
2537,オソロシイ,恐ろしい,形容詞-一般,,和,3588,34.2980298,B
1926,オチツク,落ち着く,動詞-一般,,和,4909,46.9255931,B
988,オチル,落ちる,動詞-一般,,和,9584,91.6143583,B
1636,オッシャル,仰る,動詞-一般,,和,5790,55.3471551,A
864,オット,夫,名詞-普通名詞-一般,,和,10975,104.9110582,A
572,オト,音,名詞-普通名詞-一般,,和,15990,152.8499153,A
2153,オトウト,弟,名詞-普通名詞-一般,,和,4348,41.5629413,B
209,オトコ,男,名詞-普通名詞-一般,,和,40130,383.606448,B
2645,オトコノコ,男の子,名詞-普通名詞-一般,,和,3424,32.7303383,B
1553,オトス,落とす,動詞-一般,,和,6107,58.3773879,B
1698,オトズレル,訪れる,動詞-一般,,和,5573,53.2728317,A
1127,オトナ,大人,名詞-普通名詞-一般,,和,8520,81.4434821,B
1009,オドロク,驚く,動詞-一般,,和,9405,89.9032804,A
2315,オナカ,御腹,名詞-普通名詞-一般,,和,4003,38.2650539,B
764,オナジ,同じ,形状詞-一般,,和,12402,118.5518856,B
2597,オナジク,同じく,副詞,,和,3491,33.3707977,B
2053,オバ,伯母,名詞-普通名詞-一般,,和,4582,43.7997694,A
2534,オブ,オブ,名詞-普通名詞-一般,of,外,3591,34.3267071,
839,オボエル,覚える,動詞-一般,,和,11319,108.1993866,B
653,オマエ,御前,代名詞,,和,14280,136.5038644,B
744,オモイ,思い,名詞-普通名詞-一般,,和,12685,121.2571092,B
1332,オモイ,重い,形容詞-一般,,和,7196,68.7872415,A
1034,オモイダス,思い出す,動詞-一般,,和,9199,87.934107,B
46,オモウ,思う,動詞-一般,,和,229081,2189.806845,B
785,オモシロイ,面白い,形容詞-一般,,和,12054,115.2253208,A
2693,オモニ,主に,副詞,,和,3337,31.8986972,
635,オヤ,親,名詞-普通名詞-一般,,和,14637,139.916461,B
2501,オヤコ,親子,名詞-普通名詞-一般,,和,3658,34.9671664,B
2817,オヤジ,親父,名詞-普通名詞-一般,,和,3155,30.158942,B
1753,オヨブ,及ぶ,動詞-一般,,和,5400,51.6191084,A
1343,オリル,下りる,動詞-一般,,和,7093,67.8026548,B
107,オル,居る,動詞-非自立可能,,和,85931,821.4225188,A
284,オレ,俺,代名詞,,和,30268,289.3346615,A
2092,オロス,下ろす,動詞-一般,,和,4498,42.9968055,B
2054,オワリ,終わり,名詞-普通名詞-一般,,和,4581,43.7902103,A
473,オワル,終わる,動詞-非自立可能,,和,19244,183.9552077,A
2105,オン,オン,名詞-普通名詞-サ変可能,on,外,4458,42.6144417,
849,オンガク,音楽,名詞-普通名詞-一般,,漢,11143,106.516986,A
1900,オンセン,温泉,名詞-普通名詞-一般,,漢,4990,47.6998798,A
2411,オンド,温度,名詞-普通名詞-一般,,漢,3809,36.4105896,A
307,オンナ,女,名詞-普通名詞-一般,,和,27800,265.7428172,A
1465,オンナノコ,女の子,名詞-普通名詞-一般,,和,6477,61.9142528,A
27,カ,か,助詞-終助詞,,和,403371,3855.861364,
31,カ,か,助詞-副助詞,,和,349279,3338.790843,
593,カ,課,名詞-普通名詞-助数詞可能,,漢,15536,148.5100866,B
2029,カ,火,名詞-普通名詞-一般,,漢,4633,44.2872832,
9,ガ,が,助詞-格助詞,,和,2385641,22804.56691,
26,ガ,が,助詞-接続助詞,,和,414964,3966.679942,
1098,カア,母,名詞-普通名詞-一般,,和,8649,82.6766052,
2741,カー,カー,名詞-普通名詞-一般,car,外,3272,31.277356,
1132,カード,カード,名詞-普通名詞-一般,card,外,8494,81.1949457,A
147,カイ,会,名詞-普通名詞-一般,,漢,61475,587.6453125,B
216,カイ,回,名詞-普通名詞-助数詞可能,,漢,39189,374.6113404,B
779,カイ,階,名詞-普通名詞-助数詞可能,,漢,12101,115.6745982,
2304,カイイン,会員,名詞-普通名詞-一般,,漢,4023,38.4562357,B
1084,カイガイ,海外,名詞-普通名詞-一般,,漢,8833,84.4354786,B
981,カイカク,改革,名詞-普通名詞-サ変可能,,漢,9637,92.1209903,B
2431,カイガン,海岸,名詞-普通名詞-一般,,漢,3771,36.047344,A
805,カイギ,会議,名詞-普通名詞-サ変可能,,漢,11807,112.8642245,B
1473,カイケイ,会計,名詞-普通名詞-サ変可能,,漢,6451,61.6657163,B
985,カイケツ,解決,名詞-普通名詞-サ変可能,,漢,9610,91.8628947,B
978,カイゴ,介護,名詞-普通名詞-サ変可能,,漢,9666,92.398204,
2673,ガイコウ,外交,名詞-普通名詞-一般,,漢,3357,32.089879,B
701,ガイコク,外国,名詞-普通名詞-一般,,漢,13396,128.0536251,B
951,カイサイ,開催,名詞-普通名詞-サ変可能,,漢,9979,95.3902005,B
957,カイシ,開始,名詞-普通名詞-サ変可能,,漢,9898,94.6159138,B
201,カイシャ,会社,名詞-普通名詞-一般,,漢,41167,393.5192286,B
1885,カイシャク,解釈,名詞-普通名詞-サ変可能,,漢,5026,48.0440072,B
2770,カイショウ,解消,名詞-普通名詞-サ変可能,,漢,3229,30.866315,B
1317,カイジョウ,会場,名詞-普通名詞-一般,,漢,7280,69.5902054,B
1139,カイセイ,改正,名詞-普通名詞-サ変可能,,漢,8457,80.8412592,B
2165,カイセツ,解説,名詞-普通名詞-サ変可能,,漢,4332,41.4099958,B
952,カイゼン,改善,名詞-普通名詞-サ変可能,,漢,9962,95.2276959,B
2222,カイダン,階段,名詞-普通名詞-一般,,漢,4182,39.9761317,B
2136,カイチョウ,会長,名詞-普通名詞-一般,,漢,4387,41.935746,B
2070,カイテン,回転,名詞-普通名詞-サ変可能,,漢,4546,43.455642,B
1007,カイトウ,回答,名詞-普通名詞-サ変可能,,漢,9421,90.0562259,B
2185,ガイトウ,該当,名詞-普通名詞-サ変可能,,漢,4276,40.8746866,B
2029,ガイネン,概念,名詞-普通名詞-一般,,漢,4633,44.2872832,B
362,カイハツ,開発,名詞-普通名詞-サ変可能,,漢,24083,230.2116642,B
2795,ガイブ,外部,名詞-普通名詞-一般,,漢,3182,30.4170376,B
1520,カイフク,回復,名詞-普通名詞-サ変可能,,漢,6227,59.5244792,B
2619,カイホウ,解放,名詞-普通名詞-サ変可能,,漢,3461,33.0840248,B
2454,カイモノ,買い物,名詞-普通名詞-サ変可能,,和,3720,35.5598302,A
1825,カイワ,会話,名詞-普通名詞-サ変可能,,漢,5209,49.7933214,B
