,rank,lForm,lemma,frequency,pmw,roma,syll,mora,K_acc_A,K_acc_B,wType_和,wType_外,wType_漢,pos_副詞,pos_動詞,pos_名詞,pos_形容詞,len_syll_1,len_syll_2,len_syll_3,len_syll_4,len_syll_5,len_mora_1,len_mora_2,len_mora_3,len_mora_4,len_mora_5,len_mora_6,len_mora_7
154,1130,イヌ,犬,8495,81.2045047,inu,"['イ', 'ヌ']","['イ', 'ヌ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
155,1405,イノチ,命,6737,64.3996172,inochi,"['イ', 'ノ', 'チ']","['イ', 'ノ', 'チ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
158,99,イマ,今,95114,909.2036803,ima,"['イ', 'マ']","['イ', 'マ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
162,2306,イモウト,妹,4022,38.4466766,imouto,"['イ', 'モウ', 'ト']","['イ', 'モ', 'ウ', 'ト']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
168,2185,イリ,入り,4276,40.8746866,iri,"['イ', 'リ']","['イ', 'リ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
169,2372,イリグチ,入り口,3889,37.1753171,iriguchi,"['イ', 'リ', 'グ', 'チ']","['イ', 'リ', 'グ', 'チ']",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
175,558,イロ,色,16438,157.1323895,iro,"['イ', 'ロ']","['イ', 'ロ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
186,167,ウエ,上,50903,486.5865692,ue,"['ウ', 'エ']","['ウ', 'エ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
190,1963,ウケツケ,受け付け,4813,46.0079201,uketsuke,"['ウ', 'ケ', 'ツ', 'ケ']","['ウ', 'ケ', 'ツ', 'ケ']",0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
194,913,ウゴキ,動き,10433,99.7300292,ugoki,"['ウ', 'ゴ', 'キ']","['ウ', 'ゴ', 'キ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
197,1403,ウシロ,後ろ,6749,64.5143264,ushiro,"['ウ', 'シ', 'ロ']","['ウ', 'シ', 'ロ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
199,1708,ウソ,嘘,5537,52.9287043,uso,"['ウ', 'ソ']","['ウ', 'ソ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
200,1033,ウタ,歌,9230,88.2304389,uta,"['ウ', 'タ']","['ウ', 'タ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
202,181,ウチ,内,45175,431.8320779,uchi,"['ウ', 'チ']","['ウ', 'チ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
209,1270,ウデ,腕,7604,72.6873519,ude,"['ウ', 'デ']","['ウ', 'デ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
212,1495,ウマ,馬,6354,60.7384842,uma,"['ウ', 'マ']","['ウ', 'マ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
214,2276,ウマレ,生まれ,4071,38.9150723,umare,"['ウ', 'マ', 'レ']","['ウ', 'マ', 'レ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
216,890,ウミ,海,10759,102.8462939,umi,"['ウ', 'ミ']","['ウ', 'ミ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
219,1588,ウラ,裏,5979,57.1538239,ura,"['ウ', 'ラ']","['ウ', 'ラ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
220,2368,ウリアゲ,売り上げ,3893,37.2135535,uriage,"['ウ', 'リ', 'ア', 'ゲ']","['ウ', 'リ', 'ア', 'ゲ']",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
223,2492,ウワサ,噂,3669,35.0723164,uwasa,"['ウ', 'ワ', 'サ']","['ウ', 'ワ', 'サ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
236,2242,エガオ,笑顔,4144,39.6128861,egao,"['エ', 'ガオ']","['エ', 'ガ', 'オ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
259,2282,オオガタ,大型,4064,38.8481586,oogata,"['オオ', 'ガ', 'タ']","['オ', 'オ', 'ガ', 'タ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
261,418,オオク,多く,20762,198.4659126,ooku,"['オオ', 'ク']","['オ', 'オ', 'ク']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
267,1997,オカゲ,御陰,4727,45.185838,okage,"['オ', 'カ', 'ゲ']","['オ', 'カ', 'ゲ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
274,822,オク,奥,11630,111.1722649,oku,"['オ', 'ク']","['オ', 'ク']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
283,1528,オジ,伯父,6192,59.1899109,oji,"['オ', 'ジ']","['オ', 'ジ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
290,2300,オソレ,恐れ,4025,38.4753539,osore,"['オ', 'ソ', 'レ']","['オ', 'ソ', 'レ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
296,864,オット,夫,10975,104.9110582,otto,"['オッ', 'ト']","['オ', 'ッ', 'ト']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
297,572,オト,音,15990,152.8499153,oto,"['オ', 'ト']","['オ', 'ト']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
298,2153,オトウト,弟,4348,41.5629413,otouto,"['オ', 'トウ', 'ト']","['オ', 'ト', 'ウ', 'ト']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
299,209,オトコ,男,40130,383.606448,otoko,"['オ', 'ト', 'コ']","['オ', 'ト', 'コ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
300,2645,オトコノコ,男の子,3424,32.7303383,otokonoko,"['オ', 'ト', 'コ', 'ノ', 'コ']","['オ', 'ト', 'コ', 'ノ', 'コ']",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
303,1127,オトナ,大人,8520,81.4434821,otona,"['オ', 'ト', 'ナ']","['オ', 'ト', 'ナ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
305,2315,オナカ,御腹,4003,38.2650539,onaka,"['オ', 'ナ', 'カ']","['オ', 'ナ', 'カ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
308,2053,オバ,伯母,4582,43.7997694,oba,"['オ', 'バ']","['オ', 'バ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
312,744,オモイ,思い,12685,121.2571092,omoi,"['オ', 'モイ']","['オ', 'モ', 'イ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
318,635,オヤ,親,14637,139.916461,oya,"['オ', 'ヤ']","['オ', 'ヤ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
319,2501,オヤコ,親子,3658,34.9671664,oyako,"['オ', 'ヤ', 'コ']","['オ', 'ヤ', 'コ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
320,2817,オヤジ,親父,3155,30.158942,oyaji,"['オ', 'ヤ', 'ジ']","['オ', 'ヤ', 'ジ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
326,2054,オワリ,終わり,4581,43.7902103,owari,"['オ', 'ワ', 'リ']","['オ', 'ワ', 'リ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
332,307,オンナ,女,27800,265.7428172,onna,"['オン', 'ナ']","['オ', 'ン', 'ナ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
333,1465,オンナノコ,女の子,6477,61.9142528,onnanoko,"['オン', 'ナ', 'ノ', 'コ']","['オ', 'ン', 'ナ', 'ノ', 'コ']",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
375,2454,カイモノ,買い物,3720,35.5598302,kaimono,"['カイ', 'モ', 'ノ']","['カ', 'イ', 'モ', 'ノ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
379,2672,カエリ,帰り,3364,32.1567927,kaeri,"['カエ', 'リ']","['カ', 'エ', 'リ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
382,212,カオ,顔,39604,378.5783644,kao,['カオ'],"['カ', 'オ']",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
383,2055,カオリ,香り,4578,43.761533,kaori,"['カオ', 'リ']","['カ', 'オ', 'リ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
390,2092,カカリ,係,4498,42.9968055,kakari,"['カ', 'カ', 'リ']","['カ', 'カ', 'リ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
393,2390,カギ,鍵,3846,36.7642761,kagi,"['カ', 'ギ']","['カ', 'ギ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
394,863,カギリ,限り,10994,105.092681,kagiri,"['カ', 'ギ', 'リ']","['カ', 'ギ', 'リ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
413,2386,カゲ,影,3855,36.8503079,kage,"['カ', 'ゲ']","['カ', 'ゲ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
424,917,カズ,数,10379,99.2138381,kazu,"['カ', 'ズ']","['カ', 'ズ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
426,1134,カゼ,風,8490,81.1567093,kaze,"['カ', 'ゼ']","['カ', 'ゼ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
430,670,カタ,方,13896,132.8331722,kata,"['カ', 'タ']","['カ', 'タ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
431,1324,カタ,肩,7253,69.3321098,kata,"['カ', 'タ']","['カ', 'タ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
434,2252,カタガタ,方々,4123,39.4121452,katagata,"['カ', 'タ', 'ガ', 'タ']","['カ', 'タ', 'ガ', 'タ']",0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
435,406,カタチ,形,21282,203.4366416,katachi,"['カ', 'タ', 'チ']","['カ', 'タ', 'チ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
445,1705,カッテ,勝手,5542,52.9764997,katte,"['カッ', 'テ']","['カ', 'ッ', 'テ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
457,454,カネ,金,19742,188.7156366,kane,"['カ', 'ネ']","['カ', 'ネ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
460,1563,カブ,株,6064,57.9663469,kabu,"['カ', 'ブ']","['カ', 'ブ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
462,2488,カブヌシ,株主,3674,35.1201119,kabunushi,"['カ', 'ブ', 'ヌ', 'シ']","['カ', 'ブ', 'ヌ', 'シ']",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
463,1379,カベ,壁,6903,65.9864269,kabe,"['カ', 'ベ']","['カ', 'ベ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
466,610,カミ,神,15135,144.6768899,kami,"['カ', 'ミ']","['カ', 'ミ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
467,1738,カミ,髪,5451,52.1066222,kami,"['カ', 'ミ']","['カ', 'ミ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
468,2002,カミ,紙,4711,45.0328925,kami,"['カ', 'ミ']","['カ', 'ミ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
476,370,カラダ,体,23450,224.1607577,karada,"['カ', 'ラ', 'ダ']","['カ', 'ラ', 'ダ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
477,1918,カリ,仮,4933,47.1550114,kari,"['カ', 'リ']","['カ', 'リ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
482,688,カワ,川,13641,130.3956032,kawa,"['カ', 'ワ']","['カ', 'ワ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
483,2603,カワ,皮,3483,33.2943249,kawa,"['カ', 'ワ']","['カ', 'ワ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
484,475,ガワ,側,19160,183.1522438,gawa,"['ガ', 'ワ']","['ガ', 'ワ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
486,1404,カワリ,代わり,6744,64.4665309,kawari,"['カ', 'ワ', 'リ']","['カ', 'ワ', 'リ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
491,997,カンガエ,考え,9467,90.4959443,kangae,"['カン', 'ガエ']","['カ', 'ン', 'ガ', 'エ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
524,648,キ,木,14356,137.2303555,ki,['キ'],['キ'],0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
551,2718,キズ,傷,3296,31.5067743,kizu,"['キ', 'ズ']","['キ', 'ズ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
557,1304,キタ,北,7372,70.469642,kita,"['キ', 'タ']","['キ', 'タ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
561,2514,キッカケ,切っ掛け,3620,34.6039208,kikkake,"['キッ', 'カ', 'ケ']","['キ', 'ッ', 'カ', 'ケ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
568,794,キノウ,昨日,11912,113.8679294,kinou,"['キ', 'ノウ']","['キ', 'ノ', 'ウ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
593,247,キョウ,今日,35121,335.7249454,kyou,"['キョ', 'ウ']","['キョ', 'ウ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
625,2208,キライ,嫌い,4229,40.4254091,kirai,"['キ', 'ライ']","['キ', 'ラ', 'イ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
659,2624,クサ,草,3456,33.0362294,kusa,"['ク', 'サ']","['ク', 'サ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
660,1580,クスリ,薬,6016,57.5075104,kusuri,"['ク', 'ス', 'リ']","['ク', 'ス', 'リ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
661,2357,クセ,癖,3913,37.4047354,kuse,"['ク', 'セ']","['ク', 'セ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
664,403,クチ,口,21514,205.6543514,kuchi,"['ク', 'チ']","['ク', 'チ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
665,2286,クチビル,唇,4054,38.7525677,kuchibiru,"['ク', 'チ', 'ビ', 'ル']","['ク', 'チ', 'ビ', 'ル']",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
667,2345,クツ,靴,3934,37.6054764,kutsu,"['ク', 'ツ']","['ク', 'ツ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
668,224,クニ,国,38303,366.141983,kuni,"['ク', 'ニ']","['ク', 'ニ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
669,950,クビ,首,9988,95.4762323,kubi,"['ク', 'ビ']","['ク', 'ビ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
673,1299,クミ,組,7399,70.7277376,kumi,"['ク', 'ミ']","['ク', 'ミ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
674,1148,クミアイ,組合,8426,80.5449273,kumiai,"['ク', 'ミ', 'アイ']","['ク', 'ミ', 'ア', 'イ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
676,2338,クモ,雲,3944,37.7010673,kumo,"['ク', 'モ']","['ク', 'モ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
679,2787,クラシ,暮らし,3197,30.560424,kurashi,"['ク', 'ラ', 'シ']","['ク', 'ラ', 'シ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
691,402,クルマ,車,21623,206.6962927,kuruma,"['ク', 'ル', 'マ']","['ク', 'ル', 'マ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
693,1003,クロ,黒,9446,90.2952033,kuro,"['ク', 'ロ']","['ク', 'ロ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
771,289,コ,子,29535,282.3278455,ko,['コ'],['コ'],1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
775,2307,コイ,恋,4021,38.4371175,koi,['コイ'],"['コ', 'イ']",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
824,255,コエ,声,34120,326.1562922,koe,"['コ', 'エ']","['コ', 'エ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
841,2578,ココノ,九,3522,33.6671296,kokono,"['コ', 'コ', 'ノ']","['コ', 'コ', 'ノ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
842,272,ココロ,心,31987,305.7667444,kokoro,"['コ', 'コ', 'ロ']","['コ', 'コ', 'ロ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
844,1315,コシ,腰,7301,69.7909463,koshi,"['コ', 'シ']","['コ', 'シ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
853,1436,コタエ,答え,6588,62.9753122,kotae,"['コ', 'タエ']","['コ', 'タ', 'エ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
859,19,コト,事,740949,7082.801246,koto,"['コ', 'ト']","['コ', 'ト']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
860,845,コトシ,今年,11233,107.3773045,kotoshi,"['コ', 'ト', 'シ']","['コ', 'ト', 'シ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
863,222,コトバ,言葉,38490,367.9295336,kotoba,"['コ', 'ト', 'バ']","['コ', 'ト', 'バ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
864,149,コドモ,子供,59470,568.4793287,kodomo,"['コ', 'ド', 'モ']","['コ', 'ド', 'モ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
866,2481,コナ,粉,3684,35.2157028,kona,"['コ', 'ナ']","['コ', 'ナ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
867,2579,コノミ,好み,3521,33.6575705,konomi,"['コ', 'ノ', 'ミ']","['コ', 'ノ', 'ミ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
874,2008,ゴミ,塵,4690,44.8321515,gomi,"['ゴ', 'ミ']","['ゴ', 'ミ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
878,2722,コヤ,小屋,3293,31.478097,koya,"['コ', 'ヤ']","['コ', 'ヤ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
883,268,コロ,頃,32332,309.0646318,koro,"['コ', 'ロ']","['コ', 'ロ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
922,1575,サカナ,魚,6031,57.6508968,sakana,"['サ', 'カ', 'ナ']","['サ', 'カ', 'ナ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
924,288,サキ,先,29701,283.9146551,saki,"['サ', 'キ']","['サ', 'キ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
925,1267,サキホド,先程,7637,73.002802,sakihodo,"['サ', 'キ', 'ホ', 'ド']","['サ', 'キ', 'ホ', 'ド']",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
936,2088,サクラ,桜,4506,43.0732782,sakura,"['サ', 'ク', 'ラ']","['サ', 'ク', 'ラ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
