,rank,lForm,lemma,pos,wType,frequency,pmw,K_acc,len_syll,len_mora,roma,syll,mora
54,2583,アブラ,油,名詞,和,3509,33.5428613,B,3,3,abura,"['ア', 'ブ', 'ラ']","['ア', 'ブ', 'ラ']"
59,2653,アマリ,余り,名詞,和,3404,32.5391565,B,3,3,amari,"['ア', 'マ', 'リ']","['ア', 'マ', 'リ']"
60,1165,アメ,雨,名詞,和,8319,79.5221042,B,2,2,ame,"['ア', 'メ']","['ア', 'メ']"
81,258,イエ,家,名詞,和,33587,321.061295,B,2,2,ie,"['イ', 'エ']","['イ', 'エ']"
89,2525,イカリ,怒り,名詞,和,3608,34.4892117,A,3,3,ikari,"['イ', 'カ', 'リ']","['イ', 'カ', 'リ']"
90,1589,イキ,息,名詞,和,5969,57.0582329,B,2,2,iki,"['イ', 'キ']","['イ', 'キ']"
91,2594,イキオイ,勢い,名詞,和,3492,33.3803567,B,3,4,ikioi,"['イ', 'キ', 'オイ']","['イ', 'キ', 'オ', 'イ']"
98,1668,イクラ,幾ら,名詞,和,5666,54.1618274,A,3,3,ikura,"['イ', 'ク', 'ラ']","['イ', 'ク', 'ラ']"
104,1896,イシ,石,名詞,和,5001,47.8050298,A,2,2,ishi,"['イ', 'シ']","['イ', 'シ']"
133,1450,イツ,五,名詞,和,6549,62.6025075,A,2,2,itsu,"['イ', 'ツ']","['イ', 'ツ']"
154,1130,イヌ,犬,名詞,和,8495,81.2045047,B,2,2,inu,"['イ', 'ヌ']","['イ', 'ヌ']"
155,1405,イノチ,命,名詞,和,6737,64.3996172,B,3,3,inochi,"['イ', 'ノ', 'チ']","['イ', 'ノ', 'チ']"
158,99,イマ,今,名詞,和,95114,909.2036803,B,2,2,ima,"['イ', 'マ']","['イ', 'マ']"
162,2306,イモウト,妹,名詞,和,4022,38.4466766,B,3,4,imouto,"['イ', 'モウ', 'ト']","['イ', 'モ', 'ウ', 'ト']"
168,2185,イリ,入り,名詞,和,4276,40.8746866,A,2,2,iri,"['イ', 'リ']","['イ', 'リ']"
169,2372,イリグチ,入り口,名詞,和,3889,37.1753171,A,4,4,iriguchi,"['イ', 'リ', 'グ', 'チ']","['イ', 'リ', 'グ', 'チ']"
175,558,イロ,色,名詞,和,16438,157.1323895,B,2,2,iro,"['イ', 'ロ']","['イ', 'ロ']"
186,167,ウエ,上,名詞,和,50903,486.5865692,A,2,2,ue,"['ウ', 'エ']","['ウ', 'エ']"
190,1963,ウケツケ,受け付け,名詞,和,4813,46.0079201,B,4,4,uketsuke,"['ウ', 'ケ', 'ツ', 'ケ']","['ウ', 'ケ', 'ツ', 'ケ']"
194,913,ウゴキ,動き,名詞,和,10433,99.7300292,B,3,3,ugoki,"['ウ', 'ゴ', 'キ']","['ウ', 'ゴ', 'キ']"
197,1403,ウシロ,後ろ,名詞,和,6749,64.5143264,B,3,3,ushiro,"['ウ', 'シ', 'ロ']","['ウ', 'シ', 'ロ']"
199,1708,ウソ,嘘,名詞,和,5537,52.9287043,A,2,2,uso,"['ウ', 'ソ']","['ウ', 'ソ']"
200,1033,ウタ,歌,名詞,和,9230,88.2304389,A,2,2,uta,"['ウ', 'タ']","['ウ', 'タ']"
202,181,ウチ,内,名詞,和,45175,431.8320779,A,2,2,uchi,"['ウ', 'チ']","['ウ', 'チ']"
209,1270,ウデ,腕,名詞,和,7604,72.6873519,B,2,2,ude,"['ウ', 'デ']","['ウ', 'デ']"
212,1495,ウマ,馬,名詞,和,6354,60.7384842,B,2,2,uma,"['ウ', 'マ']","['ウ', 'マ']"
214,2276,ウマレ,生まれ,名詞,和,4071,38.9150723,A,3,3,umare,"['ウ', 'マ', 'レ']","['ウ', 'マ', 'レ']"
216,890,ウミ,海,名詞,和,10759,102.8462939,B,2,2,umi,"['ウ', 'ミ']","['ウ', 'ミ']"
219,1588,ウラ,裏,名詞,和,5979,57.1538239,B,2,2,ura,"['ウ', 'ラ']","['ウ', 'ラ']"
220,2368,ウリアゲ,売り上げ,名詞,和,3893,37.2135535,A,4,4,uriage,"['ウ', 'リ', 'ア', 'ゲ']","['ウ', 'リ', 'ア', 'ゲ']"
223,2492,ウワサ,噂,名詞,和,3669,35.0723164,A,3,3,uwasa,"['ウ', 'ワ', 'サ']","['ウ', 'ワ', 'サ']"
236,2242,エガオ,笑顔,名詞,和,4144,39.6128861,B,2,3,egao,"['エ', 'ガオ']","['エ', 'ガ', 'オ']"
259,2282,オオガタ,大型,名詞,和,4064,38.8481586,B,3,4,oogata,"['オオ', 'ガ', 'タ']","['オ', 'オ', 'ガ', 'タ']"
261,418,オオク,多く,名詞,和,20762,198.4659126,B,2,3,ooku,"['オオ', 'ク']","['オ', 'オ', 'ク']"
267,1997,オカゲ,御陰,名詞,和,4727,45.185838,B,3,3,okage,"['オ', 'カ', 'ゲ']","['オ', 'カ', 'ゲ']"
274,822,オク,奥,名詞,和,11630,111.1722649,B,2,2,oku,"['オ', 'ク']","['オ', 'ク']"
283,1528,オジ,伯父,名詞,和,6192,59.1899109,A,2,2,oji,"['オ', 'ジ']","['オ', 'ジ']"
290,2300,オソレ,恐れ,名詞,和,4025,38.4753539,B,3,3,osore,"['オ', 'ソ', 'レ']","['オ', 'ソ', 'レ']"
296,864,オット,夫,名詞,和,10975,104.9110582,A,2,3,otto,"['オッ', 'ト']","['オ', 'ッ', 'ト']"
297,572,オト,音,名詞,和,15990,152.8499153,A,2,2,oto,"['オ', 'ト']","['オ', 'ト']"
298,2153,オトウト,弟,名詞,和,4348,41.5629413,B,3,4,otouto,"['オ', 'トウ', 'ト']","['オ', 'ト', 'ウ', 'ト']"
299,209,オトコ,男,名詞,和,40130,383.606448,B,3,3,otoko,"['オ', 'ト', 'コ']","['オ', 'ト', 'コ']"
300,2645,オトコノコ,男の子,名詞,和,3424,32.7303383,B,5,5,otokonoko,"['オ', 'ト', 'コ', 'ノ', 'コ']","['オ', 'ト', 'コ', 'ノ', 'コ']"
303,1127,オトナ,大人,名詞,和,8520,81.4434821,B,3,3,otona,"['オ', 'ト', 'ナ']","['オ', 'ト', 'ナ']"
305,2315,オナカ,御腹,名詞,和,4003,38.2650539,B,3,3,onaka,"['オ', 'ナ', 'カ']","['オ', 'ナ', 'カ']"
308,2053,オバ,伯母,名詞,和,4582,43.7997694,A,2,2,oba,"['オ', 'バ']","['オ', 'バ']"
312,744,オモイ,思い,名詞,和,12685,121.2571092,B,2,3,omoi,"['オ', 'モイ']","['オ', 'モ', 'イ']"
318,635,オヤ,親,名詞,和,14637,139.916461,B,2,2,oya,"['オ', 'ヤ']","['オ', 'ヤ']"
319,2501,オヤコ,親子,名詞,和,3658,34.9671664,B,3,3,oyako,"['オ', 'ヤ', 'コ']","['オ', 'ヤ', 'コ']"
320,2817,オヤジ,親父,名詞,和,3155,30.158942,B,3,3,oyaji,"['オ', 'ヤ', 'ジ']","['オ', 'ヤ', 'ジ']"
326,2054,オワリ,終わり,名詞,和,4581,43.7902103,A,3,3,owari,"['オ', 'ワ', 'リ']","['オ', 'ワ', 'リ']"
332,307,オンナ,女,名詞,和,27800,265.7428172,A,2,3,onna,"['オン', 'ナ']","['オ', 'ン', 'ナ']"
333,1465,オンナノコ,女の子,名詞,和,6477,61.9142528,A,4,5,onnanoko,"['オン', 'ナ', 'ノ', 'コ']","['オ', 'ン', 'ナ', 'ノ', 'コ']"
375,2454,カイモノ,買い物,名詞,和,3720,35.5598302,A,3,4,kaimono,"['カイ', 'モ', 'ノ']","['カ', 'イ', 'モ', 'ノ']"
379,2672,カエリ,帰り,名詞,和,3364,32.1567927,B,2,3,kaeri,"['カエ', 'リ']","['カ', 'エ', 'リ']"
382,212,カオ,顔,名詞,和,39604,378.5783644,A,1,2,kao,['カオ'],"['カ', 'オ']"
383,2055,カオリ,香り,名詞,和,4578,43.761533,A,2,3,kaori,"['カオ', 'リ']","['カ', 'オ', 'リ']"
390,2092,カカリ,係,名詞,和,4498,42.9968055,B,3,3,kakari,"['カ', 'カ', 'リ']","['カ', 'カ', 'リ']"
393,2390,カギ,鍵,名詞,和,3846,36.7642761,B,2,2,kagi,"['カ', 'ギ']","['カ', 'ギ']"
394,863,カギリ,限り,名詞,和,10994,105.092681,B,3,3,kagiri,"['カ', 'ギ', 'リ']","['カ', 'ギ', 'リ']"
413,2386,カゲ,影,名詞,和,3855,36.8503079,B,2,2,kage,"['カ', 'ゲ']","['カ', 'ゲ']"
424,917,カズ,数,名詞,和,10379,99.2138381,B,2,2,kazu,"['カ', 'ズ']","['カ', 'ズ']"
426,1134,カゼ,風,名詞,和,8490,81.1567093,A,2,2,kaze,"['カ', 'ゼ']","['カ', 'ゼ']"
430,670,カタ,方,名詞,和,13896,132.8331722,A,2,2,kata,"['カ', 'タ']","['カ', 'タ']"
431,1324,カタ,肩,名詞,和,7253,69.3321098,B,2,2,kata,"['カ', 'タ']","['カ', 'タ']"
434,2252,カタガタ,方々,名詞,和,4123,39.4121452,B,4,4,katagata,"['カ', 'タ', 'ガ', 'タ']","['カ', 'タ', 'ガ', 'タ']"
435,406,カタチ,形,名詞,和,21282,203.4366416,A,3,3,katachi,"['カ', 'タ', 'チ']","['カ', 'タ', 'チ']"
445,1705,カッテ,勝手,名詞,和,5542,52.9764997,A,2,3,katte,"['カッ', 'テ']","['カ', 'ッ', 'テ']"
457,454,カネ,金,名詞,和,19742,188.7156366,A,2,2,kane,"['カ', 'ネ']","['カ', 'ネ']"
460,1563,カブ,株,名詞,和,6064,57.9663469,A,2,2,kabu,"['カ', 'ブ']","['カ', 'ブ']"
462,2488,カブヌシ,株主,名詞,和,3674,35.1201119,A,4,4,kabunushi,"['カ', 'ブ', 'ヌ', 'シ']","['カ', 'ブ', 'ヌ', 'シ']"
463,1379,カベ,壁,名詞,和,6903,65.9864269,A,2,2,kabe,"['カ', 'ベ']","['カ', 'ベ']"
466,610,カミ,神,名詞,和,15135,144.6768899,B,2,2,kami,"['カ', 'ミ']","['カ', 'ミ']"
467,1738,カミ,髪,名詞,和,5451,52.1066222,B,2,2,kami,"['カ', 'ミ']","['カ', 'ミ']"
468,2002,カミ,紙,名詞,和,4711,45.0328925,A,2,2,kami,"['カ', 'ミ']","['カ', 'ミ']"
476,370,カラダ,体,名詞,和,23450,224.1607577,A,3,3,karada,"['カ', 'ラ', 'ダ']","['カ', 'ラ', 'ダ']"
477,1918,カリ,仮,名詞,和,4933,47.1550114,A,2,2,kari,"['カ', 'リ']","['カ', 'リ']"
482,688,カワ,川,名詞,和,13641,130.3956032,A,2,2,kawa,"['カ', 'ワ']","['カ', 'ワ']"
483,2603,カワ,皮,名詞,和,3483,33.2943249,B,2,2,kawa,"['カ', 'ワ']","['カ', 'ワ']"
484,475,ガワ,側,名詞,和,19160,183.1522438,A,2,2,gawa,"['ガ', 'ワ']","['ガ', 'ワ']"
486,1404,カワリ,代わり,名詞,和,6744,64.4665309,A,3,3,kawari,"['カ', 'ワ', 'リ']","['カ', 'ワ', 'リ']"
491,997,カンガエ,考え,名詞,和,9467,90.4959443,B,2,4,kangae,"['カン', 'ガエ']","['カ', 'ン', 'ガ', 'エ']"
524,648,キ,木,名詞,和,14356,137.2303555,B,1,1,ki,['キ'],['キ']
551,2718,キズ,傷,名詞,和,3296,31.5067743,A,2,2,kizu,"['キ', 'ズ']","['キ', 'ズ']"
557,1304,キタ,北,名詞,和,7372,70.469642,A,2,2,kita,"['キ', 'タ']","['キ', 'タ']"
561,2514,キッカケ,切っ掛け,名詞,和,3620,34.6039208,B,3,4,kikkake,"['キッ', 'カ', 'ケ']","['キ', 'ッ', 'カ', 'ケ']"
568,794,キノウ,昨日,名詞,和,11912,113.8679294,A,2,3,kinou,"['キ', 'ノウ']","['キ', 'ノ', 'ウ']"
593,247,キョウ,今日,名詞,和,35121,335.7249454,B,2,2,kyou,"['キョ', 'ウ']","['キョ', 'ウ']"
625,2208,キライ,嫌い,名詞,和,4229,40.4254091,A,2,3,kirai,"['キ', 'ライ']","['キ', 'ラ', 'イ']"
659,2624,クサ,草,名詞,和,3456,33.0362294,B,2,2,kusa,"['ク', 'サ']","['ク', 'サ']"
660,1580,クスリ,薬,名詞,和,6016,57.5075104,B,3,3,kusuri,"['ク', 'ス', 'リ']","['ク', 'ス', 'リ']"
661,2357,クセ,癖,名詞,和,3913,37.4047354,A,2,2,kuse,"['ク', 'セ']","['ク', 'セ']"
664,403,クチ,口,名詞,和,21514,205.6543514,A,2,2,kuchi,"['ク', 'チ']","['ク', 'チ']"
665,2286,クチビル,唇,名詞,和,4054,38.7525677,A,4,4,kuchibiru,"['ク', 'チ', 'ビ', 'ル']","['ク', 'チ', 'ビ', 'ル']"
667,2345,クツ,靴,名詞,和,3934,37.6054764,B,2,2,kutsu,"['ク', 'ツ']","['ク', 'ツ']"
668,224,クニ,国,名詞,和,38303,366.141983,A,2,2,kuni,"['ク', 'ニ']","['ク', 'ニ']"
669,950,クビ,首,名詞,和,9988,95.4762323,A,2,2,kubi,"['ク', 'ビ']","['ク', 'ビ']"
673,1299,クミ,組,名詞,和,7399,70.7277376,B,2,2,kumi,"['ク', 'ミ']","['ク', 'ミ']"
674,1148,クミアイ,組合,名詞,和,8426,80.5449273,B,3,4,kumiai,"['ク', 'ミ', 'アイ']","['ク', 'ミ', 'ア', 'イ']"
676,2338,クモ,雲,名詞,和,3944,37.7010673,B,2,2,kumo,"['ク', 'モ']","['ク', 'モ']"
679,2787,クラシ,暮らし,名詞,和,3197,30.560424,A,3,3,kurashi,"['ク', 'ラ', 'シ']","['ク', 'ラ', 'シ']"
691,402,クルマ,車,名詞,和,21623,206.6962927,A,3,3,kuruma,"['ク', 'ル', 'マ']","['ク', 'ル', 'マ']"
693,1003,クロ,黒,名詞,和,9446,90.2952033,B,2,2,kuro,"['ク', 'ロ']","['ク', 'ロ']"
771,289,コ,子,名詞,和,29535,282.3278455,A,1,1,ko,['コ'],['コ']
775,2307,コイ,恋,名詞,和,4021,38.4371175,B,1,2,koi,['コイ'],"['コ', 'イ']"
824,255,コエ,声,名詞,和,34120,326.1562922,B,2,2,koe,"['コ', 'エ']","['コ', 'エ']"
841,2578,ココノ,九,名詞,和,3522,33.6671296,B,3,3,kokono,"['コ', 'コ', 'ノ']","['コ', 'コ', 'ノ']"
842,272,ココロ,心,名詞,和,31987,305.7667444,B,3,3,kokoro,"['コ', 'コ', 'ロ']","['コ', 'コ', 'ロ']"
844,1315,コシ,腰,名詞,和,7301,69.7909463,A,2,2,koshi,"['コ', 'シ']","['コ', 'シ']"
853,1436,コタエ,答え,名詞,和,6588,62.9753122,B,2,3,kotae,"['コ', 'タエ']","['コ', 'タ', 'エ']"
859,19,コト,事,名詞,和,740949,7082.801246,B,2,2,koto,"['コ', 'ト']","['コ', 'ト']"
860,845,コトシ,今年,名詞,和,11233,107.3773045,A,3,3,kotoshi,"['コ', 'ト', 'シ']","['コ', 'ト', 'シ']"
863,222,コトバ,言葉,名詞,和,38490,367.9295336,B,3,3,kotoba,"['コ', 'ト', 'バ']","['コ', 'ト', 'バ']"
864,149,コドモ,子供,名詞,和,59470,568.4793287,A,3,3,kodomo,"['コ', 'ド', 'モ']","['コ', 'ド', 'モ']"
866,2481,コナ,粉,名詞,和,3684,35.2157028,B,2,2,kona,"['コ', 'ナ']","['コ', 'ナ']"
867,2579,コノミ,好み,名詞,和,3521,33.6575705,B,3,3,konomi,"['コ', 'ノ', 'ミ']","['コ', 'ノ', 'ミ']"
874,2008,ゴミ,塵,名詞,和,4690,44.8321515,B,2,2,gomi,"['ゴ', 'ミ']","['ゴ', 'ミ']"
878,2722,コヤ,小屋,名詞,和,3293,31.478097,B,2,2,koya,"['コ', 'ヤ']","['コ', 'ヤ']"
883,268,コロ,頃,名詞,和,32332,309.0646318,A,2,2,koro,"['コ', 'ロ']","['コ', 'ロ']"
922,1575,サカナ,魚,名詞,和,6031,57.6508968,A,3,3,sakana,"['サ', 'カ', 'ナ']","['サ', 'カ', 'ナ']"
924,288,サキ,先,名詞,和,29701,283.9146551,A,2,2,saki,"['サ', 'キ']","['サ', 'キ']"
925,1267,サキホド,先程,名詞,和,7637,73.002802,A,4,4,sakihodo,"['サ', 'キ', 'ホ', 'ド']","['サ', 'キ', 'ホ', 'ド']"
936,2088,サクラ,桜,名詞,和,4506,43.0732782,A,3,3,sakura,"['サ', 'ク', 'ラ']","['サ', 'ク', 'ラ']"
937,1116,サケ,酒,名詞,和,8568,81.9023186,A,2,2,sake,"['サ', 'ケ']","['サ', 'ケ']"
949,1800,サッキ,さっき,名詞,和,5269,50.366867,A,2,3,sakki,"['サッ', 'キ']","['サ', 'ッ', 'キ']"
961,2736,サラ,皿,名詞,和,3278,31.3347106,A,2,2,sara,"['サ', 'ラ']","['サ', 'ラ']"
981,1301,シアイ,試合,名詞,和,7384,70.5843512,A,2,3,shiai,"['シ', 'アイ']","['シ', 'ア', 'イ']"
982,1592,シアワセ,幸せ,名詞,和,5953,56.9052874,A,4,4,shiawase,"['シ', 'ア', 'ワ', 'セ']","['シ', 'ア', 'ワ', 'セ']"
983,2261,ジイ,爺,名詞,和,4096,39.1540496,A,1,2,jii,['ジイ'],"['ジ', 'イ']"
989,1723,シオ,塩,名詞,和,5488,52.4603087,B,2,2,shio,"['シ', 'オ']","['シ', 'オ']"
992,1515,シカタ,仕方,名詞,和,6266,59.8972839,A,3,3,shikata,"['シ', 'カ', 'タ']","['シ', 'カ', 'タ']"
1001,2278,シクミ,仕組み,名詞,和,4070,38.9055132,A,3,3,shikumi,"['シ', 'ク', 'ミ']","['シ', 'ク', 'ミ']"
1010,232,シゴト,仕事,名詞,和,37646,359.8616581,A,3,3,shigoto,"['シ', 'ゴ', 'ト']","['シ', 'ゴ', 'ト']"
1033,469,シタ,下,名詞,和,19316,184.6434625,A,2,2,shita,"['シ', 'タ']","['シ', 'タ']"
1068,1942,シハライ,支払い,名詞,和,4855,46.4094021,A,3,4,shiharai,"['シ', 'ハ', 'ライ']","['シ', 'ハ', 'ラ', 'イ']"
1075,1923,シマ,島,名詞,和,4922,47.0498614,B,2,2,shima,"['シ', 'マ']","['シ', 'マ']"
1210,1053,シロ,白,名詞,和,9071,86.710543,B,2,2,shiro,"['シ', 'ロ']","['シ', 'ロ']"
1255,434,スガタ,姿,名詞,和,20325,194.2885885,B,3,3,sugata,"['ス', 'ガ', 'タ']","['ス', 'ガ', 'タ']"
1264,2323,スジ,筋,名詞,和,3975,37.9973992,B,2,2,suji,"['ス', 'ジ']","['ス', 'ジ']"
1280,254,スベテ,全て,名詞,和,34157,326.5099786,A,3,3,subete,"['ス', 'ベ', 'テ']","['ス', 'ベ', 'テ']"
1287,2012,セ,背,名詞,和,4678,44.7174424,A,1,1,se,['セ'],['セ']
1344,2204,セナカ,背中,名詞,和,4231,40.4445273,B,3,3,senaka,"['セ', 'ナ', 'カ']","['セ', 'ナ', 'カ']"
1381,575,ソウ,そう,名詞,和,15932,152.2954879,A,1,2,sou,['ソウ'],"['ソ', 'ウ']"
1407,2518,ソコ,底,名詞,和,3618,34.5848026,A,2,2,soko,"['ソ', 'コ']","['ソ', 'コ']"
1415,718,ソト,外,名詞,和,13077,125.0042741,B,2,2,soto,"['ソ', 'ト']","['ソ', 'ト']"
1417,1649,ソバ,側,名詞,和,5751,54.9743504,B,2,2,soba,"['ソ', 'バ']","['ソ', 'バ']"
1419,2348,ソモソモ,抑,名詞,和,3931,37.5767991,A,4,4,somosomo,"['ソ', 'モ', 'ソ', 'モ']","['ソ', 'モ', 'ソ', 'モ']"
1420,1232,ソラ,空,名詞,和,7862,75.1535982,B,2,2,sora,"['ソ', 'ラ']","['ソ', 'ラ']"
1422,425,ソレゾレ,其々,名詞,和,20503,195.9901072,A,4,4,sorezore,"['ソ', 'レ', 'ゾ', 'レ']","['ソ', 'レ', 'ゾ', 'レ']"
1474,1042,タガイ,互い,名詞,和,9152,87.4848296,B,2,3,tagai,"['タ', 'ガイ']","['タ', 'ガ', 'イ']"
1489,2121,タダ,只,名詞,和,4414,42.1938415,B,2,2,tada,"['タ', 'ダ']","['タ', 'ダ']"
1490,2057,タタカイ,戦い,名詞,和,4576,43.7424148,A,3,4,tatakai,"['タ', 'タ', 'カイ']","['タ', 'タ', 'カ', 'イ']"
1495,970,タチバ,立場,名詞,和,9746,93.1629315,B,3,3,tachiba,"['タ', 'チ', 'バ']","['タ', 'チ', 'バ']"
1502,1167,タテモノ,建物,名詞,和,8293,79.2735677,B,4,4,tatemono,"['タ', 'テ', 'モ', 'ノ']","['タ', 'テ', 'モ', 'ノ']"
1513,1486,タビ,度,名詞,和,6389,61.0730525,A,2,2,tabi,"['タ', 'ビ']","['タ', 'ビ']"
1514,1493,タビ,旅,名詞,和,6367,60.8627524,A,2,2,tabi,"['タ', 'ビ']","['タ', 'ビ']"
1517,2388,タマ,玉,名詞,和,3847,36.7738352,B,2,2,tama,"['タ', 'マ']","['タ', 'マ']"
1518,1985,タマゴ,卵,名詞,和,4768,45.5777609,B,3,3,tamago,"['タ', 'マ', 'ゴ']","['タ', 'マ', 'ゴ']"
1519,2819,タマシイ,魂,名詞,和,3146,30.0729102,B,3,4,tamashii,"['タ', 'マ', 'シイ']","['タ', 'マ', 'シ', 'イ']"
1522,68,タメ,為,名詞,和,152779,1460.428844,A,2,2,tame,"['タ', 'メ']","['タ', 'メ']"
1544,1424,チ,血,名詞,和,6625,63.3289987,A,1,1,chi,['チ'],['チ']
1553,594,チガイ,違い,名詞,和,15521,148.3667002,A,2,3,chigai,"['チ', 'ガイ']","['チ', 'ガ', 'イ']"
1555,703,チカク,近く,名詞,和,13360,127.7094978,B,3,3,chikaku,"['チ', 'カ', 'ク']","['チ', 'カ', 'ク']"
1557,441,チカラ,力,名詞,和,20112,192.2525014,A,3,3,chikara,"['チ', 'カ', 'ラ']","['チ', 'カ', 'ラ']"
1564,554,チチ,父,名詞,和,16542,158.1265353,B,2,2,chichi,"['チ', 'チ']","['チ', 'チ']"
1565,1372,チチオヤ,父親,名詞,和,6938,66.3209952,B,4,4,chichioya,"['チ', 'チ', 'オ', 'ヤ']","['チ', 'チ', 'オ', 'ヤ']"
1566,1089,チナミ,因み,名詞,和,8756,83.6994283,A,3,3,chinami,"['チ', 'ナ', 'ミ']","['チ', 'ナ', 'ミ']"
1601,880,ツイタチ,一日,名詞,和,10883,104.0316216,A,4,4,tsuitachi,"['ツ', 'イ', 'タ', 'チ']","['ツ', 'イ', 'タ', 'チ']"
1611,1101,ツキ,月,名詞,和,8613,82.3324779,B,2,2,tsuki,"['ツ', 'キ']","['ツ', 'キ']"
1612,194,ツギ,次,名詞,和,42491,406.1754692,A,2,2,tsugi,"['ツ', 'ギ']","['ツ', 'ギ']"
1618,2687,ツクエ,机,名詞,和,3343,31.9560517,A,3,3,tsukue,"['ツ', 'ク', 'エ']","['ツ', 'ク', 'エ']"
1620,1066,ツクリ,作り,名詞,和,8958,85.6303653,B,3,3,tsukuri,"['ツ', 'ク', 'リ']","['ツ', 'ク', 'リ']"
1627,2515,ツチ,土,名詞,和,3619,34.5943617,B,2,2,tsuchi,"['ツ', 'チ']","['ツ', 'チ']"
1637,1088,ツネ,常,名詞,和,8769,83.8236965,B,2,2,tsune,"['ツ', 'ネ']","['ツ', 'ネ']"
1639,858,ツマ,妻,名詞,和,11054,105.6662267,A,2,2,tsuma,"['ツ', 'マ']","['ツ', 'マ']"
1642,2399,ツミ,罪,名詞,和,3834,36.6495669,B,2,2,tsumi,"['ツ', 'ミ']","['ツ', 'ミ']"
1644,852,ツモリ,積り,名詞,和,11138,106.4691906,A,3,3,tsumori,"['ツ', 'モ', 'リ']","['ツ', 'モ', 'リ']"
1649,177,テ,手,名詞,和,47213,451.3135118,B,1,1,te,['テ'],['テ']
1652,2689,テアテ,手当て,名詞,和,3341,31.9369335,B,3,3,teate,"['テ', 'ア', 'テ']","['テ', 'ア', 'テ']"
1669,1336,テガミ,手紙,名詞,和,7135,68.2041367,B,3,3,tegami,"['テ', 'ガ', 'ミ']","['テ', 'ガ', 'ミ']"
1671,2536,デキゴト,出来事,名詞,和,3589,34.3075889,B,4,4,dekigoto,"['デ', 'キ', 'ゴ', 'ト']","['デ', 'キ', 'ゴ', 'ト']"
1685,2546,テラ,寺,名詞,和,3570,34.1259661,A,2,2,tera,"['テ', 'ラ']","['テ', 'ラ']"
1708,1052,トイアワセ,問い合わせ,名詞,和,9072,86.7201021,B,4,5,toiawase,"['トイ', 'ア', 'ワ', 'セ']","['ト', 'イ', 'ア', 'ワ', 'セ']"
1742,1521,トオ,十,名詞,和,6223,59.4862429,A,1,2,too,['トオ'],"['ト', 'オ']"
1745,269,トオリ,通り,名詞,和,32098,306.8278038,B,2,3,toori,"['トオ', 'リ']","['ト', 'オ', 'リ']"
1747,64,トキ,時,名詞,和,162023,1548.79311,B,2,2,toki,"['ト', 'キ']","['ト', 'キ']"
1748,2078,トキドキ,時々,名詞,和,4528,43.2835783,B,4,4,tokidoki,"['ト', 'キ', 'ド', 'キ']","['ト', 'キ', 'ド', 'キ']"
1761,88,トコロ,所,名詞,和,108040,1032.764531,A,3,3,tokoro,"['ト', 'コ', 'ロ']","['ト', 'コ', 'ロ']"
